,Accomodation_Type,Reco_Insurance_Type,Upper_Age,Lower_Age,Is_Spouse,Holding_Policy_Duration,Holding_Policy_Type,Reco_Policy_Cat,Reco_Policy_Premium,Response,city
10192,1,1,3,3,1,15,4.0,17,4.391146906415991,1,C4
10193,0,1,1,1,1,3,1.0,16,4.028896445131471,1,C17
10195,1,1,2,2,1,3,2.0,17,4.291901400465467,0,C4
10196,1,1,3,1,0,0,0.0,22,4.400157923390449,0,C2
10207,0,1,4,3,1,0,0.0,18,4.425338548279633,1,C1
10209,1,1,2,1,1,3,3.0,10,4.186391215695493,0,C4
10214,0,1,3,3,1,1,1.0,19,4.4171394097273255,0,C19
10228,1,1,3,1,1,7,2.0,16,4.403710623259618,0,C18
10232,1,1,2,1,0,0,0.0,20,4.319397574051826,1,C8
10235,0,1,3,2,0,10,3.0,22,4.394101302040045,0,C6
10236,0,1,2,2,1,0,0.0,18,4.058668918468875,1,C6
10238,1,1,3,3,1,7,3.0,21,4.511359218857564,0,C28
10242,0,1,4,3,1,15,3.0,18,4.324200116785378,0,C12
10243,1,1,2,2,1,0,0.0,19,4.252221753598687,0,C2
10252,1,1,4,4,1,15,4.0,18,4.478647287051969,0,C1
10259,1,1,3,2,1,2,3.0,18,4.338934352976385,1,C4
10260,1,1,4,4,1,0,0.0,7,4.505448453187231,1,C1
10262,1,1,2,2,1,1,3.0,21,4.075692918201804,1,C11
10267,1,1,1,1,1,2,2.0,17,3.996161293368007,1,C3
10287,1,1,3,3,1,9,3.0,21,4.431595326138296,0,C8
10292,0,1,2,1,1,0,0.0,16,4.104691918900206,0,C16
10293,1,1,2,1,1,5,3.0,22,4.086744118015646,0,C1
10294,1,1,3,1,0,15,2.0,15,4.3039386922711556,0,C3
10302,0,1,2,2,1,15,1.0,15,4.132003392986632,0,C3
10304,1,1,2,2,1,0,0.0,14,4.22580533487163,0,C2
10308,1,1,3,2,0,6,1.0,19,4.2458086767874885,1,C7
10311,1,1,3,2,1,15,3.0,2,4.337147655555802,0,C17
10313,1,1,1,1,1,0,0.0,20,4.027594211826226,0,C16
10317,0,1,2,1,0,0,0.0,14,4.1846687220156955,0,C9
10320,1,1,3,3,1,1,1.0,16,4.384016315276631,0,C1
10321,1,1,3,3,1,5,1.0,6,4.491854548452413,0,C9
10327,1,1,3,3,1,0,0.0,20,4.45429593073985,0,C1
10329,1,1,4,3,1,6,3.0,14,4.357248576936287,0,C25
10331,0,1,2,2,1,0,0.0,20,4.199228440400665,0,C6
10333,1,1,4,4,1,0,0.0,16,4.444369614174724,0,C1
10335,1,1,4,3,1,15,3.0,18,4.292752124502243,0,C1
10341,1,1,3,3,1,10,1.0,16,4.400676112787212,1,C19
10348,1,1,2,2,1,2,4.0,12,4.363386313749419,0,C1
10351,1,1,4,4,1,6,4.0,22,4.48159166769875,0,C1
10353,1,1,2,1,1,7,3.0,16,4.238848680362337,0,C16
10354,1,1,2,2,1,3,1.0,22,4.298634783124435,1,C17
10361,0,1,2,2,1,0,0.0,12,4.287891265954026,0,C3
10362,1,1,2,2,1,0,0.0,18,4.206199609049046,1,C3
10363,0,1,3,1,1,1,3.0,1,4.4184338800803244,0,C5
10364,1,1,3,3,1,3,1.0,1,4.280578370368076,0,C17
10370,1,1,3,1,1,3,2.0,17,4.389832082525931,1,C12
10379,1,1,2,1,0,0,0.0,16,4.377291677183337,0,C29
10382,0,1,2,2,1,1,3.0,17,4.324940602014902,0,C23
10386,0,1,1,1,1,3,1.0,15,4.122569725057082,1,C4
10392,1,1,3,3,1,5,4.0,22,4.325864436615346,0,C1
10395,1,1,2,2,1,9,1.0,1,4.252367514459899,0,C15
10396,0,1,2,2,1,1,3.0,13,4.354953146212556,1,C2
10401,1,1,4,4,1,13,4.0,22,4.50562201694447,0,C2
10403,1,1,4,1,1,15,3.0,21,4.519460459283213,0,C7
10404,1,1,4,4,1,15,3.0,20,4.475118891127667,0,C1
10408,0,1,4,2,1,0,0.0,12,4.32935719413155,0,C1
10409,1,1,2,2,1,0,0.0,19,4.293318349461074,0,C7
10419,1,1,3,2,1,5,2.0,21,4.248561741359574,1,C33
10429,1,1,2,2,1,0,0.0,18,4.17260293120986,0,C17
10432,0,1,4,4,1,0,0.0,21,4.575335664698286,1,C1
10442,1,1,2,1,0,15,3.0,4,4.179551791165188,0,C23
10444,0,1,1,1,1,0,0.0,14,3.975817676577209,0,C9
10449,1,1,4,3,1,15,2.0,17,4.36675905512633,0,C7
10457,1,1,4,3,0,0,0.0,21,4.492011248609951,0,C2
10459,1,1,2,2,1,2,2.0,18,4.0711305433592155,0,C4
10469,1,1,3,2,1,1,3.0,21,4.375846436309156,0,C1
10476,1,1,2,1,1,0,0.0,4,4.068185861746161,0,C9
10481,1,1,1,1,1,0,0.0,10,4.058046230395282,1,C7
10492,1,1,3,1,0,15,4.0,17,4.445417369765918,0,C2
10502,1,1,3,1,1,13,1.0,1,4.140972885231636,0,C7
10506,1,1,2,2,1,1,3.0,20,4.09571318700489,0,C16
10508,1,1,2,2,1,4,3.0,18,4.298940363010725,0,C3
10511,1,1,3,1,1,0,0.0,9,4.235503196494338,0,C7
10512,0,1,2,2,1,2,3.0,9,4.23618444288015,0,C22
10513,1,1,3,3,1,0,0.0,1,4.244425572172935,0,C8
10514,1,1,2,2,1,0,0.0,17,3.9614210940664485,1,C5
10515,1,1,3,3,1,15,3.0,20,4.3484606358195235,0,C1
10519,1,1,2,2,1,0,0.0,17,4.067517201903676,1,C24
10534,1,1,3,3,1,15,3.0,18,4.330088945748481,0,C10
10539,1,1,2,1,0,12,2.0,16,4.250205241833348,0,C2
10548,0,1,1,1,1,8,3.0,20,4.014352500651009,0,C12
10556,1,1,2,2,1,3,1.0,19,4.238848680362337,0,C3
10559,1,1,2,1,0,8,3.0,13,4.454387467146955,0,C1
10569,1,1,3,3,1,1,1.0,17,4.518197974435138,0,C9
10571,1,1,3,2,0,7,1.0,9,4.424437318824289,0,C3
10578,1,1,2,2,1,15,2.0,13,4.0745238879349515,0,C21
10581,1,1,2,1,1,1,1.0,13,4.132451812729004,0,C6
10587,0,1,2,1,1,0,0.0,12,4.04296907339318,0,C17
10592,1,1,4,4,1,15,3.0,5,4.495522136622106,0,C1
10594,0,1,4,1,1,0,0.0,16,4.337243558058544,0,C1
10596,0,1,4,4,1,0,0.0,19,4.549572134031749,0,C1
10598,0,1,2,2,1,2,1.0,5,4.265996370495079,1,C15
10601,1,1,2,1,1,0,0.0,8,4.258158193340794,0,C16
10602,1,1,3,3,1,0,0.0,22,4.347817712708912,1,C1
10605,1,1,2,1,1,6,1.0,21,4.284746469577731,0,C3
10610,1,1,4,3,1,3,1.0,8,4.312177356439778,1,C4
10612,1,1,4,4,1,0,0.0,21,4.431363764158987,0,C23
10622,1,1,2,1,0,0,0.0,1,4.242660668993382,0,C5
10633,1,1,1,1,1,5,3.0,2,3.9159272116971158,0,C9
10635,0,1,1,1,1,0,0.0,15,3.976588385709205,0,C16
10645,1,1,3,3,1,0,0.0,15,4.218272853571447,1,C20
10649,1,1,4,3,1,9,1.0,12,4.431595326138296,1,C1
10653,1,1,2,1,0,6,4.0,11,4.346529004101864,0,C2
10659,1,1,4,3,1,0,0.0,18,4.4938872536087064,0,C10
10661,0,1,2,2,1,0,0.0,17,4.3345502503140665,0,C3
10666,1,1,3,3,1,15,4.0,17,4.44085872616257,0,C3
10674,1,1,1,1,1,1,1.0,12,4.093806775615175,0,C24
10675,0,1,2,2,1,0,0.0,19,4.3812522996976995,1,C1
10676,1,1,4,2,0,15,2.0,22,4.373603379160609,0,C1
10678,0,1,1,1,1,0,0.0,8,4.221570712166461,0,C4
10690,1,1,2,1,1,0,0.0,15,4.052678554779688,0,C3
10693,1,1,4,4,1,15,2.0,17,4.481270596619722,1,C10
10694,1,1,2,1,0,2,3.0,18,4.2103292231935825,1,C22
10708,1,1,2,1,1,0,0.0,14,4.247187390586354,0,C4
10710,1,1,3,1,1,15,4.0,22,4.3506820958134815,0,C6
10717,1,1,4,3,0,3,3.0,1,4.264392761767717,0,C13
10723,1,1,3,3,1,3,1.0,19,4.358117669348724,0,C4
10733,1,1,4,4,1,8,4.0,22,4.460837728633412,0,C21
10734,1,1,2,2,1,0,0.0,12,4.089028576818532,0,C10
10736,1,1,1,1,1,3,3.0,16,4.105360284729234,0,C16
10741,1,1,3,3,0,12,2.0,20,4.352992445447028,0,C13
10746,1,1,3,2,1,3,1.0,19,4.312177356439778,0,C12
10749,1,1,3,2,1,5,1.0,21,4.41479959542523,0,C1
10753,1,1,3,2,1,2,3.0,19,4.221674997070769,0,C1
10756,1,1,2,2,1,5,3.0,16,4.367400652917831,0,C9
10765,0,1,3,1,0,9,1.0,22,4.511016580195291,0,C3
10776,1,1,3,3,0,0,0.0,1,4.206286044412432,0,C20
10782,1,1,1,1,0,0,0.0,18,4.189726065708361,0,C28
10784,1,1,3,1,1,5,3.0,22,4.495821753385906,1,C2
10786,1,1,3,2,1,5,3.0,22,4.378470580135304,0,C1
10800,1,1,2,1,0,5,3.0,8,4.220285955375554,1,C4
10801,1,1,3,3,1,0,0.0,21,4.449928659443413,0,C3
10805,1,1,4,4,1,15,3.0,1,4.423462147894222,0,C8
10809,1,1,1,1,1,2,3.0,22,3.8912028272602956,1,C2
10813,1,1,3,3,1,0,0.0,12,4.453792135344474,0,C2
10815,1,1,3,3,1,3,3.0,21,4.488866452233656,0,C3
10817,1,1,3,3,1,0,0.0,21,4.397244581010386,1,C6
10828,1,1,2,1,0,1,3.0,1,4.178263082558139,0,C3
10837,1,1,1,1,1,0,0.0,21,4.246276945434062,0,C2
10839,0,1,2,2,1,4,3.0,18,4.162325389190677,0,C2
10846,1,1,4,4,1,14,3.0,11,4.4473751243144495,0,C2
10849,0,1,2,2,1,0,0.0,22,4.088830404566906,1,C11
10853,1,1,4,4,1,15,2.0,17,4.379885398643749,0,C14
10867,1,1,4,4,1,15,4.0,18,4.3144571227346775,0,C1
10868,1,1,3,1,0,0,0.0,22,4.188151962927106,0,C11
10869,0,1,2,1,1,5,3.0,18,4.3419881690481885,1,C1
10873,1,1,1,1,1,0,0.0,7,4.1084973713482595,0,C1
10877,1,1,4,4,1,0,0.0,5,4.3692158574101425,0,C1
10892,1,1,1,1,0,0,0.0,6,3.9003015698244488,1,C29
10896,0,1,2,2,1,1,1.0,18,4.314709692955174,0,C14
10898,0,1,3,3,1,2,1.0,6,4.45982656523855,0,C4
10899,1,1,3,2,1,0,0.0,20,4.305179337564041,0,C15
10901,1,1,3,3,1,2,1.0,17,4.335898992025112,0,C28
10903,1,1,4,3,1,7,1.0,16,4.399244405642604,0,C15
10918,1,1,2,1,0,14,3.0,11,4.367698747844699,0,C2
10924,1,1,2,2,1,3,3.0,20,4.273695587930092,0,C11
10926,1,1,3,3,1,8,4.0,1,4.366445371846602,0,C8
10932,0,1,3,1,0,0,0.0,20,4.346431218659823,0,C11
10939,1,1,3,2,0,12,1.0,12,4.449879338623202,1,C3
10945,1,1,2,1,1,2,3.0,14,4.054934635083912,0,C7
10956,1,1,2,1,1,4,2.0,22,4.2451967023714,0,C17
10973,1,1,4,4,1,15,4.0,17,4.499260825118054,0,C8
10977,1,1,3,3,1,6,3.0,21,4.3678030327490065,0,C1
10979,1,1,4,3,1,2,1.0,19,4.50275476578036,0,C12
10982,1,1,3,3,1,15,3.0,1,4.376372535079613,0,C8
10984,0,1,1,1,0,0,0.0,15,3.934245881023071,0,C13
10987,0,1,1,1,1,1,1.0,19,4.296980925994742,0,C15
10994,1,1,3,3,1,15,4.0,19,4.320827324049014,0,C1
10997,1,1,2,1,1,0,0.0,19,4.140445188347875,0,C3
11006,1,1,4,4,1,2,3.0,18,4.550003195587638,0,C1
11010,1,1,3,1,1,2,4.0,22,4.429997611295443,0,C7
11011,1,1,3,3,1,9,3.0,4,4.351487090449711,0,C3
11023,1,1,2,2,0,15,4.0,22,4.409290500640455,1,C1
11041,1,1,4,4,1,15,3.0,2,4.380645319190925,0,C1
11042,1,1,2,1,1,9,3.0,21,4.091596620810058,0,C11
11050,0,1,2,2,1,12,3.0,4,4.044226077112683,0,C9
11058,1,1,2,2,1,6,4.0,15,4.387638940236929,0,C3
11069,1,1,3,3,1,12,4.0,22,4.397244581010386,0,C1
11082,1,1,3,2,1,9,3.0,18,4.396303983762163,1,C14
11086,1,1,2,2,1,8,2.0,20,4.210960255416812,0,C3
11097,1,1,3,2,1,1,1.0,12,4.200001865406602,1,C7
11102,0,1,1,1,1,0,0.0,1,4.260071387985075,0,C5
11104,0,1,1,1,0,1,3.0,1,4.120363313121264,0,C20
11109,1,1,3,3,1,1,4.0,22,4.328257249731236,0,C4
11112,1,1,2,1,1,4,3.0,9,4.237543738142874,0,C3
11113,1,1,1,1,1,1,1.0,16,4.118793627944349,1,C9
11123,1,1,3,3,0,1,1.0,17,4.439004084987116,0,C9
11124,1,1,2,2,1,0,0.0,20,4.3587873602785,0,C4
11127,1,1,2,2,1,12,3.0,5,4.078485818385974,0,C13
11142,0,1,4,3,1,5,2.0,15,4.451863159220613,0,C11
11150,1,1,3,3,1,0,0.0,22,4.340800922595561,0,C17
11156,1,1,4,3,1,1,3.0,14,4.349976499424472,0,C21
11158,1,1,2,2,1,12,3.0,3,4.146345128650468,0,C2
11161,1,1,4,4,1,10,4.0,17,4.5218177718298564,1,C1
11168,1,1,1,1,1,8,1.0,12,3.887279634530023,0,C7
11171,0,1,3,2,1,0,0.0,22,4.349999779126545,0,C2
11172,0,1,2,2,1,1,1.0,1,4.304555150120442,0,C24
11178,1,1,4,1,0,12,3.0,16,4.394521722674913,0,C1
11182,1,1,2,2,1,0,0.0,18,4.288338669395164,0,C3
11193,1,1,3,3,1,8,1.0,22,4.379986798243066,0,C2
11194,1,1,4,4,1,0,0.0,5,4.5251796118626055,0,C1
11195,1,1,3,3,0,0,0.0,5,4.375758691186744,0,C1
11197,0,1,1,1,1,8,3.0,16,4.211697080960263,0,C3
11203,1,1,2,1,1,0,0.0,20,4.132720642500449,0,C10
11205,1,1,2,1,1,1,1.0,12,4.3044905277734875,0,C3
11213,1,1,3,3,1,10,3.0,18,4.388917845156914,0,C2
11216,0,1,2,2,1,4,1.0,1,4.276668561845278,0,C11
11220,1,1,3,3,1,0,0.0,20,4.428069969119063,1,C21
11221,1,1,4,4,1,0,0.0,22,4.573187337933692,0,C15
11222,1,1,3,3,1,1,3.0,2,4.223568620149561,0,C4
11229,1,1,4,4,1,15,2.0,20,4.513750150081823,1,C28
11230,1,1,2,2,1,6,1.0,16,4.276075592958905,0,C16
11231,1,1,4,4,1,4,4.0,18,4.521347331832345,0,C2
11232,1,1,2,1,0,4,1.0,15,4.325507453559995,1,C1
11233,1,1,4,4,1,6,4.0,6,4.440909082065217,0,C29
11235,1,1,2,2,1,0,0.0,20,4.287622602486192,0,C7
11238,1,1,3,3,1,3,2.0,12,4.451863159220613,1,C1
11243,0,1,1,1,0,0,0.0,16,4.0239599271711315,0,C9
11244,1,1,3,3,1,15,3.0,6,4.431363764158987,0,C4
11247,1,1,4,3,1,8,1.0,18,4.491431735682969,0,C26
11249,1,1,4,3,1,0,0.0,20,4.490306899596963,0,C6
11259,1,1,2,2,1,4,1.0,22,4.343408593803857,0,C2
11260,1,1,4,4,1,0,0.0,14,4.4964452918733535,1,C1
11270,1,1,2,1,1,6,3.0,22,4.286411555895978,0,C20
11274,1,1,4,2,1,15,1.0,19,4.5819360118279855,1,C1
11283,1,1,4,4,1,2,4.0,19,4.529389284388999,0,C1
11288,1,1,1,1,1,0,0.0,1,4.1532659350758685,0,C19
11299,0,1,1,1,1,0,0.0,22,3.967079734144497,0,C14
11301,0,1,3,1,1,15,4.0,17,4.32060319775962,0,C8
11303,1,1,2,2,1,2,3.0,18,4.262166213051207,0,C3
11307,0,1,2,2,1,4,2.0,2,4.324693913861775,0,C17
11310,1,1,3,3,1,0,0.0,15,4.205312653309609,0,C6
11312,1,1,4,4,1,9,4.0,18,4.432809005033168,0,C22
11313,1,1,3,3,1,0,0.0,16,4.2996380249790755,0,C16
11319,1,1,3,1,1,5,3.0,1,4.3506820958134815,0,C4
11323,0,1,3,2,1,2,1.0,16,4.350867996286564,0,C12
11332,1,1,2,2,1,8,4.0,17,4.298634783124435,0,C2
11333,1,1,4,3,1,15,2.0,21,4.372985605966962,0,C7
11336,1,1,4,1,0,13,4.0,18,4.40952736701224,0,C26
11339,0,1,3,2,1,11,4.0,12,4.267406418752904,0,C3
11344,0,1,2,2,0,5,2.0,17,4.211440935578669,1,C6
11350,0,1,3,1,1,0,0.0,22,4.364851052007693,0,C2
11351,1,1,2,1,0,3,3.0,14,4.2552725051033065,0,C22
11361,1,1,3,2,0,2,3.0,2,4.416946568757158,0,C3
11363,0,1,3,3,1,0,0.0,21,4.480581786829169,0,C33
11368,0,1,2,1,1,4,3.0,14,4.178263082558139,0,C2
11372,1,1,3,3,1,11,3.0,22,4.279666944048455,0,C2
11387,1,1,2,1,1,3,3.0,22,4.1292128084160264,1,C2
11394,0,1,2,1,1,2,3.0,1,3.9786369483844743,0,C18
11395,1,1,3,2,1,14,3.0,18,4.438029436143705,1,C2
11397,1,1,4,3,1,15,4.0,7,4.417690861110543,0,C1
11398,1,1,3,3,1,5,3.0,13,4.464429928450845,0,C1
11399,1,1,1,1,1,8,2.0,17,4.212400702780119,1,C18
11402,1,1,2,2,1,1,3.0,19,4.2853322276438846,0,C19
11407,1,1,4,3,0,6,4.0,15,4.437877345621435,0,C1
11412,1,1,2,2,1,6,3.0,21,4.363386313749419,0,C1
11424,1,1,3,2,0,0,0.0,19,4.303109622057102,0,C7
11427,1,1,4,3,1,15,4.0,21,4.530537778210314,0,C22
11428,1,1,3,2,1,7,3.0,21,4.220212724706482,0,C1
11429,1,1,2,1,0,3,3.0,22,4.2890535575926405,0,C20
11438,1,1,4,3,1,5,4.0,17,4.550512080973254,1,C1
11443,1,1,2,2,1,3,1.0,16,3.971275848738105,1,C8
11444,0,1,3,2,0,1,1.0,18,4.287891265954026,0,C10
11445,0,1,2,1,1,1,2.0,17,4.337658891026142,1,C21
11456,1,1,2,1,0,2,3.0,20,4.4172258278913565,0,C28
11458,1,1,4,4,1,15,3.0,21,4.464966204890961,0,C6
11462,0,1,3,2,1,15,2.0,16,4.3273998072377,0,C9
11472,0,1,2,2,1,2,2.0,12,4.409757342135354,0,C2
11478,1,1,4,3,1,9,2.0,19,4.3513865476822975,1,C28
11479,1,1,4,3,1,0,0.0,6,4.547048223472134,0,C7
11482,1,1,2,1,1,0,0.0,2,4.28397928423848,0,C19
11484,0,1,2,1,1,3,2.0,14,3.975431808509263,1,C10
11487,1,1,1,1,1,4,2.0,12,4.06604251633767,0,C3
11496,0,1,2,2,1,3,1.0,12,4.380963367159664,1,C2
11505,1,1,2,2,1,0,0.0,22,4.310038722942298,0,C2
11513,1,1,2,2,1,3,1.0,16,4.284493899357234,0,C25
11514,1,1,2,2,1,0,0.0,8,4.307239236201639,1,C4
11517,0,1,1,1,1,1,3.0,21,4.231393123403121,0,C14
11525,1,1,4,4,1,4,3.0,2,4.414438502482157,0,C18
11527,1,1,2,1,0,5,2.0,15,4.316624441423086,1,C3
11529,1,1,3,3,1,8,3.0,18,4.375297738217339,0,C1
11536,1,1,4,3,1,5,2.0,7,4.347700715272348,0,C4
11549,0,1,4,4,1,0,0.0,17,4.5247854493212225,1,C1
11551,0,1,3,2,0,2,3.0,10,4.422550446275157,0,C14
11552,1,1,2,2,1,5,2.0,15,3.996424103955091,1,C7
11554,1,1,2,1,1,7,3.0,21,4.291368850451582,0,C16
11560,1,1,4,1,0,5,3.0,21,4.432809005033168,0,C13
11567,1,1,3,1,1,1,3.0,22,4.489536629482095,0,C2
11569,0,1,1,1,0,0,0.0,2,4.080424442497644,1,C33
11571,1,1,3,3,1,5,3.0,22,4.445068398688963,0,C8
11576,1,1,3,3,1,1,3.0,1,4.206286044412432,0,C11
11582,1,1,3,3,1,0,0.0,21,4.340206080040022,0,C1
11583,1,1,1,1,0,2,1.0,12,4.045557669136548,0,C12
11587,1,1,3,3,1,5,4.0,22,4.442968663018262,1,C1
11597,1,1,3,1,0,15,3.0,22,4.447158031342219,0,C13
11604,1,1,4,4,1,15,3.0,18,4.357675716859486,1,C10
11612,1,1,3,3,1,15,3.0,18,4.350092885458106,0,C15
11629,1,1,3,3,1,3,3.0,8,4.4184338800803244,1,C1
11631,1,1,4,3,1,15,4.0,22,4.48877626544444,0,C1
11634,1,1,3,3,1,3,4.0,9,4.329796393038258,0,C3
11640,1,1,2,2,1,4,3.0,6,4.292752124502243,0,C9
11641,1,1,4,4,1,15,3.0,17,4.39922362152727,0,C2
11642,1,1,4,4,0,0,0.0,2,4.255706582582625,0,C16
11644,1,1,3,3,1,0,0.0,1,4.398689821884568,0,C13
11646,1,1,3,1,1,7,3.0,22,4.279210512601395,1,C3
11648,1,1,2,1,1,10,1.0,20,4.114610984232173,0,C1
11671,0,1,2,2,1,4,3.0,9,4.132720642500449,1,C11
11679,1,1,4,3,1,0,0.0,18,4.558420545001285,1,C1
11694,0,1,2,2,1,0,0.0,17,4.273640083491151,0,C1
11699,1,1,4,1,0,5,2.0,20,4.564789116643631,1,C7
11702,1,1,2,1,1,4,2.0,13,4.3290519333599295,1,C7
11712,1,1,3,3,1,0,0.0,19,4.365240815984406,0,C1
11714,0,1,3,2,1,0,0.0,17,4.501311271687913,1,C8
11718,1,1,1,1,1,3,3.0,18,3.880264663012131,1,C16
11727,1,1,4,3,1,1,3.0,2,4.5793078980172215,0,C15
11728,1,1,2,2,1,1,2.0,22,4.317164585323156,0,C9
11730,1,1,3,3,1,0,0.0,22,4.343243116765504,0,C5
11737,1,1,3,3,1,1,3.0,14,4.365581572755048,1,C14
11738,1,1,2,2,1,7,2.0,20,4.253880534418401,0,C1
11741,1,1,2,1,1,0,0.0,18,4.340840549812332,0,C1
11744,1,1,1,1,1,3,1.0,17,4.235326402483387,1,C32
11745,0,1,2,2,1,3,4.0,22,4.145040940037024,1,C5
11760,1,1,2,2,1,0,0.0,4,4.174455234145807,0,C13
11761,0,1,2,2,1,9,1.0,2,4.115171002984051,0,C4
11770,1,1,2,2,1,3,3.0,16,4.221820953880042,0,C8
11773,1,1,3,3,1,9,3.0,18,4.439534791141022,0,C2
11789,1,1,4,4,1,0,0.0,18,4.395067661756112,0,C3
11790,1,1,3,3,1,1,3.0,22,4.452240442539527,0,C2
11798,0,1,4,3,1,0,0.0,19,4.437401719156305,1,C3
11799,1,1,4,4,1,1,3.0,14,4.332216205878284,0,C7
11802,1,1,2,2,1,15,4.0,17,4.378761175316373,1,C20
11816,1,1,2,2,1,0,0.0,12,4.312008007838723,1,C2
11829,1,1,3,1,0,15,3.0,22,4.392626616474039,0,C2
11834,0,1,1,1,1,0,0.0,22,4.146995757209465,1,C6
11836,0,1,2,2,1,1,1.0,10,4.309408705940144,0,C5
11843,1,1,3,1,1,7,3.0,18,4.325371969396705,0,C3
11849,0,1,3,3,1,8,3.0,18,4.275302138646006,0,C3
11858,1,1,3,3,1,0,0.0,4,4.2635887314599445,0,C13
11863,1,1,2,2,1,0,0.0,16,4.244722322769998,0,C18
11864,0,1,1,1,1,3,2.0,22,3.872039667973286,0,C1
11866,1,1,4,3,1,13,3.0,22,4.426628358695596,1,C1
11868,0,1,3,3,0,0,0.0,19,4.4222943008935625,1,C10
11869,0,1,2,1,1,1,1.0,12,4.251784177257485,0,C15
11870,0,1,2,1,0,4,1.0,8,4.366703056869286,0,C4
11875,1,1,2,2,1,0,0.0,16,4.171106007773862,0,C19
11877,1,1,2,2,1,9,3.0,21,4.335898992025112,0,C2
11878,1,1,4,4,1,0,0.0,16,4.520399678954218,0,C1
11881,1,1,2,2,1,9,4.0,22,4.269587655121576,1,C3
11885,1,1,4,4,1,12,3.0,18,4.6225538627362495,0,C2
11888,1,1,3,2,1,14,1.0,22,4.361032408355942,0,C7
11889,1,1,3,3,1,11,4.0,19,4.4540517392901195,0,C18
11894,1,1,4,4,1,5,4.0,21,4.551410958512028,0,C1
11896,0,1,1,1,1,0,0.0,19,4.021189299069938,1,C17
11899,0,1,3,3,1,4,3.0,14,4.386677283960838,1,C4
11900,1,1,2,2,1,0,0.0,22,4.347946373495486,0,C2
11902,1,1,4,4,1,15,4.0,5,4.472493160747825,0,C1
11903,0,1,3,3,1,15,2.0,13,4.284557055684242,0,C29
11905,1,1,1,1,1,0,0.0,22,3.8312296938670634,0,C13
11910,1,1,2,1,1,14,3.0,18,4.112504458767161,0,C4
11913,1,1,4,2,0,0,0.0,6,4.39776625612645,0,C7
11927,1,1,3,3,1,6,3.0,21,4.495755189743825,0,C2
11928,0,1,4,4,1,0,0.0,5,4.295716603465983,0,C16
11932,1,1,3,3,1,7,2.0,20,4.403977963669354,1,C12
11942,1,1,2,2,1,4,3.0,22,4.115171002984051,1,C4
11947,0,1,2,2,1,0,0.0,21,4.124764984062712,0,C33
11948,1,1,3,1,0,0,0.0,22,4.308692442201257,0,C2
11954,1,1,2,2,1,1,3.0,5,4.303766099779155,0,C20
11961,1,1,2,2,1,4,1.0,2,4.382866779184883,0,C3
11972,0,1,3,2,0,0,0.0,20,4.236033147117636,1,C17
11979,0,1,2,1,1,0,0.0,17,4.277700876288793,1,C2
11985,1,1,3,1,1,10,3.0,8,4.5424170728886155,0,C3
11996,1,1,4,4,1,0,0.0,16,4.502011746810579,0,C1
12003,0,1,4,3,1,0,0.0,13,4.42652427373838,0,C2
12005,1,1,3,3,0,8,3.0,20,4.3484606358195235,0,C1
12009,1,1,3,1,1,5,4.0,18,4.319917649895243,1,C8
12010,1,1,2,2,1,0,0.0,21,4.3233758719338615,1,C3
12023,1,1,3,3,1,8,2.0,19,4.331872498488898,0,C19
12027,0,1,2,1,1,15,3.0,12,4.0050088206723675,0,C18
12028,1,1,2,1,0,3,3.0,7,4.040222463000937,0,C1
12031,1,1,2,2,1,5,2.0,13,4.177894176626505,0,C23
12044,0,1,3,3,1,4,4.0,22,4.351661051790672,0,C15
12046,1,1,4,4,1,1,1.0,20,4.477121254719663,0,C23
12051,1,1,3,2,1,4,3.0,19,4.368636411717909,0,C1
12052,1,1,2,2,1,6,1.0,12,4.246498580795801,0,C2
12062,0,1,2,1,1,4,1.0,13,4.162683865877892,1,C6
12063,1,1,3,3,1,4,3.0,18,4.417039675088719,0,C22
12065,1,1,3,1,1,14,4.0,21,4.340206080040022,0,C2
12071,1,1,2,1,1,1,3.0,14,4.281941933440825,0,C2
12074,1,1,4,4,1,0,0.0,21,4.472136003437844,0,C8
12076,1,1,2,1,0,4,1.0,16,4.25806231201092,0,C1
12081,1,1,2,2,1,0,0.0,14,4.3085131915354795,0,C16
12091,1,1,4,4,1,15,3.0,19,4.382053082115315,0,C15
12092,1,1,3,3,1,0,0.0,17,4.443669703496398,0,C1
12104,1,1,2,2,1,0,0.0,18,4.1590857137143455,0,C2
12105,1,1,3,1,1,4,3.0,9,4.448675408165723,0,C5
12106,0,1,1,1,1,0,0.0,7,4.076159650629211,1,C4
12112,0,1,2,2,1,5,2.0,19,4.337339439388419,0,C18
12115,1,1,3,3,1,2,1.0,16,4.485971144964242,0,C19
12118,1,1,3,1,0,0,0.0,20,4.35395467937171,0,C1
12120,1,1,2,1,0,0,0.0,19,4.295716603465983,0,C7
12125,0,1,1,1,1,2,3.0,19,4.182756931040399,0,C19
12126,1,1,3,3,1,0,0.0,22,4.416041066964434,1,C2
12134,1,1,2,2,1,8,3.0,17,4.153705133982577,1,C2
12139,0,1,3,1,1,2,1.0,19,4.275817927877539,0,C18
12140,1,1,2,2,1,10,3.0,22,4.208957043594235,0,C1
12142,1,1,1,1,1,2,1.0,12,3.9590413923210934,1,C1
12145,1,1,3,3,1,8,1.0,14,4.278835880533686,0,C1
